city,stateAbb,year,department,expensecat,subdep,expensedescrip,personneltype,group,total
Honolulu,HI,2020,Police Department,All Department Expenses,Office of the Chief of Police,All expense items,All staff,Group 3,1073027
Honolulu,HI,2020,Police Department,All-Non Personnel Services,Patrol,All expense items,All staff,Group 3,11430322
Honolulu,HI,2020,Police Department,All-Non Personnel Services,Police Commission,All expense items,All staff,Group 3,147274
Honolulu,HI,2020,Police Department,All-Non Personnel Services,Special Operations,All expense items,All staff,Group 3,2046999
Honolulu,HI,2020,Police Department,All-Non Personnel Services,Support Services,All expense items,All staff,Group 3,14962333
Honolulu,HI,2020,Police Department,Equipment,Administration,All expense items,All staff,Group 3,9000
Honolulu,HI,2020,Police Department,Equipment,Investigations,All expense items,All staff,Group 3,40000
Honolulu,HI,2020,Police Department,Non-Equipment Expense,Administration,All expense items,All staff,Group 3,8459743
Honolulu,HI,2020,Police Department,Non-Equipment Expense,Investigations,All expense items,All staff,Group 3,3796797
Honolulu,HI,2020,Police Department,Personnel Services,Administration,All expense items,All staff,Group 3,26921578
Honolulu,HI,2020,Police Department,Personnel Services,Investigations,All expense items,All staff,Group 3,39357904
Honolulu,HI,2020,Police Department,Personnel Services,Office of the Chief of Police,All expense items,All staff,Group 3,7434699
Honolulu,HI,2020,Police Department,Personnel Services,Patrol,All expense items,All staff,Group 3,153458022
Honolulu,HI,2020,Police Department,Personnel Services,Police Commission,All expense items,All staff,Group 3,360756
Honolulu,HI,2020,Police Department,Personnel Services,Special Operations,All expense items,All staff,Group 3,11947126
Honolulu,HI,2020,Police Department,Personnel Services,Support Services,All expense items,All staff,Group 3,20255725
Houston,TX,2020,Police Department,Contractual Services,All Sub-departments,All expense items,All staff,Group 1,50551359
Houston,TX,2020,Police Department,Equipment,All Sub-departments,All expense items,All staff,Group 1,12376603
Houston,TX,2020,Police Department,Materials and Services,All Sub-departments,All expense items,All staff,Group 1,3.00E+05
Houston,TX,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,836651091
Indianapolis,IN,2020,Police Department,Equipment,All Sub-departments,All expense items,All staff,Group 1,5199659
Indianapolis,IN,2020,Police Department,Internal Charges,All Sub-departments,All expense items,All staff,Group 1,10986804
Indianapolis,IN,2020,Police Department,Materials and Services,All Sub-departments,All expense items,All staff,Group 1,26678479
Indianapolis,IN,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,211072061
Indianapolis,IN,2020,Police Pensions,All Department Expenses,All Sub-departments,All expense items,All staff,Group 1,29634000
Jackson,MS,2020,Police Department,Capital Projects,Body Camera Program,All expense items,All staff,Group 4,321000
Jackson,MS,2020,Police Department,Capital Projects,Bomb Team ,All expense items,All staff,Group 4,10861
Jackson,MS,2020,Police Department,Capital Projects,Ed Bryne Memorial,All expense items,All staff,Group 4,498553
Jackson,MS,2020,Police Department,Capital Projects,Hot Spot Policing,All expense items,All staff,Group 4,177404
Jackson,MS,2020,Police Department,Capital Projects,Patrol,All expense items,All staff,Group 4,1292204
Jackson,MS,2020,Police Department,Capital Projects,Police E-911 Funds,All expense items,All staff,Group 4,4129
Jackson,MS,2020,Police Department,Capital Projects,Precinct 2,All expense items,All staff,Group 4,43394
Jackson,MS,2020,Police Department,Capital Projects,Seizure and Forfeited Property,All expense items,All staff,Group 4,123628
Jackson,MS,2020,Police Department,Capital Projects,Standards and Training,All expense items,All staff,Group 4,1598
Jackson,MS,2020,Police Department,Equipment,Animal Services,All expense items,All staff,Group 4,33378
Jackson,MS,2020,Police Department,Equipment,Body Camera Program,All expense items,All staff,Group 4,1727
Jackson,MS,2020,Police Department,Equipment,Bomb Team ,All expense items,All staff,Group 4,1993
Jackson,MS,2020,Police Department,Equipment,Communications,All expense items,All staff,Group 4,12450
Jackson,MS,2020,Police Department,Equipment,Crime Lab,All expense items,All staff,Group 4,24315
Jackson,MS,2020,Police Department,Equipment,Impound Lot,All expense items,All staff,Group 4,2000
Jackson,MS,2020,Police Department,Equipment,Mobile Crime Scene Unit,All expense items,All staff,Group 4,9600
Jackson,MS,2020,Police Department,Equipment,Other Drug-Related Unit,All expense items,All staff,Group 4,11000
Jackson,MS,2020,Police Department,Equipment,Patrol,All expense items,All staff,Group 4,1116946
Jackson,MS,2020,Police Department,Equipment,Police E-911 Funds,All expense items,All staff,Group 4,1550
Jackson,MS,2020,Police Department,Equipment,Police ID,All expense items,All staff,Group 4,2000
Jackson,MS,2020,Police Department,Equipment,Precinct 1,All expense items,All staff,Group 4,1000
Jackson,MS,2020,Police Department,Equipment,Precinct 2,All expense items,All staff,Group 4,1000
Jackson,MS,2020,Police Department,Equipment,Precinct 3,All expense items,All staff,Group 4,1000
Jackson,MS,2020,Police Department,Equipment,Precinct 4,All expense items,All staff,Group 4,500
Jackson,MS,2020,Police Department,Equipment,Seizure and Forfeited Property,All expense items,All staff,Group 4,40433
Jackson,MS,2020,Police Department,Equipment,Support Services,All expense items,All staff,Group 4,10551
Jackson,MS,2020,Police Department,Equipment,Training,All expense items,All staff,Group 4,153653
Jackson,MS,2020,Police Department,Internal Charges,Command,All expense items,All staff,Group 4,55189
Jackson,MS,2020,Police Department,Materials and Services,Administration,All expense items,All staff,Group 4,203900
Jackson,MS,2020,Police Department,Materials and Services,Adult Detention,All expense items,All staff,Group 4,7352
Jackson,MS,2020,Police Department,Materials and Services,Animal Services,All expense items,All staff,Group 4,53142
Jackson,MS,2020,Police Department,Materials and Services,Bomb Team ,All expense items,All staff,Group 4,5
Jackson,MS,2020,Police Department,Materials and Services,Communications,All expense items,All staff,Group 4,23360
Jackson,MS,2020,Police Department,Materials and Services,Crime Lab,All expense items,All staff,Group 4,57545
Jackson,MS,2020,Police Department,Materials and Services,Impound Lot,All expense items,All staff,Group 4,23200
Jackson,MS,2020,Police Department,Materials and Services,Investigations,All expense items,All staff,Group 4,16000
Jackson,MS,2020,Police Department,Materials and Services,NET,All expense items,All staff,Group 4,16933
Jackson,MS,2020,Police Department,Materials and Services,Patrol,All expense items,All staff,Group 4,86176
Jackson,MS,2020,Police Department,Materials and Services,Police ID,All expense items,All staff,Group 4,9303
Jackson,MS,2020,Police Department,Materials and Services,Precinct 1,All expense items,All staff,Group 4,8000
Jackson,MS,2020,Police Department,Materials and Services,Precinct 2,All expense items,All staff,Group 4,34787
Jackson,MS,2020,Police Department,Materials and Services,Precinct 3,All expense items,All staff,Group 4,38615
Jackson,MS,2020,Police Department,Materials and Services,Precinct 4,All expense items,All staff,Group 4,63600
Jackson,MS,2020,Police Department,Materials and Services,Seizure and Forfeited Property,All expense items,All staff,Group 4,35067
Jackson,MS,2020,Police Department,Materials and Services,Support Services,All expense items,All staff,Group 4,559255
Jackson,MS,2020,Police Department,Materials and Services,Training,All expense items,All staff,Group 4,90351
Jackson,MS,2020,Police Department,Materials and Services,Youth Detention,All expense items,All staff,Group 4,1299066
Jackson,MS,2020,Police Department,Personnel Services,Adult Detention,Benefits,All staff,Group 4,172626
Jackson,MS,2020,Police Department,Personnel Services,Adult Detention,Overtime,All staff,Group 4,35000
Jackson,MS,2020,Police Department,Personnel Services,Adult Detention,Retirement/Pension,All staff,Group 4,98029
Jackson,MS,2020,Police Department,Personnel Services,Adult Detention,Salaries,All staff,Group 4,528387
Jackson,MS,2020,Police Department,Personnel Services,Animal Services,Benefits,All staff,Group 4,72602
Jackson,MS,2020,Police Department,Personnel Services,Animal Services,Overtime,All staff,Group 4,14605
Jackson,MS,2020,Police Department,Personnel Services,Animal Services,Retirement/Pension,All staff,Group 4,30749
Jackson,MS,2020,Police Department,Personnel Services,Animal Services,Salaries,All staff,Group 4,162114
Jackson,MS,2020,Police Department,Personnel Services,Communications,Benefits,All staff,Group 4,436267
Jackson,MS,2020,Police Department,Personnel Services,Communications,Overtime,All staff,Group 4,75000
Jackson,MS,2020,Police Department,Personnel Services,Communications,Retirement/Pension,All staff,Group 4,259966
Jackson,MS,2020,Police Department,Personnel Services,Communications,Salaries,All staff,Group 4,1433816
Jackson,MS,2020,Police Department,Personnel Services,Impound Lot,All expense items,All staff,Group 4,47019
Jackson,MS,2020,Police Department,Personnel Services,Impound Lot,Benefits,All staff,Group 4,15265
Jackson,MS,2020,Police Department,Personnel Services,Impound Lot,Overtime,All staff,Group 4,600
Jackson,MS,2020,Police Department,Personnel Services,Impound Lot,Retirement/Pension,All staff,Group 4,4707
Jackson,MS,2020,Police Department,Personnel Services,Impound Lot,Salaries,All staff,Group 4,26447
Jackson,MS,2020,Police Department,Personnel Services,Patrol,Benefits,All staff,Group 4,3551352
Jackson,MS,2020,Police Department,Personnel Services,Patrol,Overtime,All staff,Group 4,1568009
Jackson,MS,2020,Police Department,Personnel Services,Patrol,Retirement/Pension,All staff,Group 4,2774988
Jackson,MS,2020,Police Department,Personnel Services,Patrol,Salaries,All staff,Group 4,14991137
Jackson,MS,2020,Police Department,Personnel Services,Public Safety Planning,All expense items,All staff,Group 4,305470
Jackson,MS,2020,Police Department,Personnel Services,Security,Benefits,All staff,Group 4,68623
Jackson,MS,2020,Police Department,Personnel Services,Security,Overtime,All staff,Group 4,13403
Jackson,MS,2020,Police Department,Personnel Services,Security,Retirement/Pension,All staff,Group 4,3135
Jackson,MS,2020,Police Department,Personnel Services,Security,Salaries,All staff,Group 4,216183
Jackson,MS,2020,Police Department,Personnel Services,Seizure and Forfeited Property,All expense items,All staff,Group 4,50000
Jackson,MS,2020,Police Department,Personnel Services,Support Services,Benefits,All staff,Group 4,715285
Jackson,MS,2020,Police Department,Personnel Services,Support Services,Overtime,All staff,Group 4,15000
Jackson,MS,2020,Police Department,Personnel Services,Support Services,Retirement/Pension,All staff,Group 4,422263
Jackson,MS,2020,Police Department,Personnel Services,Support Services,Salaries,All staff,Group 4,2836380
Jacksonville,FL,2020,Office of the Sheriff,Capital Projects,All sub-departments,All expense items,All Staff,Group 1,3208320
Jacksonville,FL,2020,Office of the Sheriff,Debt Service,All sub-departments,All expense items,All Staff,Group 1,261952
Jacksonville,FL,2020,Office of the Sheriff,Operations,All sub-departments,All expense items,All Staff,Group 1,91983725
Jacksonville,FL,2020,Office of the Sheriff,Personnel Services,All sub-departments,All expense items,All Staff,Group 1,386140600
Kansas City,MO,2020,Police Department,Capital Projects,Administration,All expense items,All staff,Group 3,5.00E+05
Kansas City,MO,2020,Police Department,Capital Projects,Executive Services,All expense items,All staff,Group 3,2300000
Kansas City,MO,2020,Police Department,Capital Projects,Investigations,All expense items,All staff,Group 3,150000
Kansas City,MO,2020,Police Department,Capital Projects,Management,All expense items,All staff,Group 3,40000
Kansas City,MO,2020,Police Department,Contractual Services,Administration,All expense items,All staff,Group 3,313636
Kansas City,MO,2020,Police Department,Contractual Services,Executive Services,All expense items,All staff,Group 3,8234040
Kansas City,MO,2020,Police Department,Contractual Services,Investigations,All expense items,All staff,Group 3,1998224
Kansas City,MO,2020,Police Department,Contractual Services,Management,All expense items,All staff,Group 3,6589276
Kansas City,MO,2020,Police Department,Contractual Services,Patrol,All expense items,All staff,Group 3,908192
Kansas City,MO,2020,Police Department,Contractual Services,Training,All expense items,All staff,Group 3,95589
Kansas City,MO,2020,Police Department,Debt Service,Patrol,All expense items,All staff,Group 3,15636885
Kansas City,MO,2020,Police Department,Materials and Services,Administration,All expense items,All staff,Group 3,10000
Kansas City,MO,2020,Police Department,Materials and Services,Executive Services,All expense items,All staff,Group 3,6100957
Kansas City,MO,2020,Police Department,Materials and Services,Investigations,All expense items,All staff,Group 3,447740
Kansas City,MO,2020,Police Department,Materials and Services,Patrol,All expense items,All staff,Group 3,411981
Kansas City,MO,2020,Police Department,Materials and Services,Training,All expense items,All staff,Group 3,45000
Kansas City,MO,2020,Police Department,Personnel Services,Administration,All expense items,All staff,Group 3,8204215
Kansas City,MO,2020,Police Department,Personnel Services,Executive Services,All expense items,All staff,Group 3,14135477
Kansas City,MO,2020,Police Department,Personnel Services,Investigations,All expense items,All staff,Group 3,36562719
Kansas City,MO,2020,Police Department,Personnel Services,Management,All expense items,All staff,Group 3,76176949
Kansas City,MO,2020,Police Department,Personnel Services,Patrol,All expense items,All staff,Group 3,75957186
Kansas City,MO,2020,Police Department,Personnel Services,Training,All expense items,All staff,Group 3,7429339
Las Vegas,NV,2020,City Marshals,Capital Projects,Other Specialized Unit,Other,All staff,Group 4,49000
Las Vegas,NV,2020,City Marshals,Materials and Services,Other Specialized Unit,Other,All staff,Group 4,3038950
Las Vegas,NV,2020,City Marshals,Personnel Services,Other Specialized Unit,Benefits,All staff,Group 4,5689861
Las Vegas,NV,2020,City Marshals,Personnel Services,Other Specialized Unit,Salaries,All staff,Group 4,8088703
Las Vegas,NV,2020,Police Department,All Department Expenses,All Sub-departments,All expense items,All staff,Group 4,156836411
Little Rock,AR,2020,Police Department,Contractual Services,All Sub-departments,All expense items,All staff,Group 1,2297129
Little Rock,AR,2020,Police Department,Equipment,All Sub-departments,All expense items,All staff,Group 1,2058319
Little Rock,AR,2020,Police Department,Materials and Services,All Sub-departments,All expense items,All staff,Group 1,2816991
Little Rock,AR,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,73037451
Long Beach,CA,2020,Fire and Police Pensions,All Department Expenses,All Sub-departments,All expense items,All staff,Group 2,967749
Long Beach,CA,2020,Police Department,Internal Charges,All Sub-departments,All expense items,All staff,Group 2,30490626
Long Beach,CA,2020,Police Department,Materials and Services,All Sub-departments,All expense items,All staff,Group 2,9892700
Long Beach,CA,2020,Police Department,Personnel Services,All Sub-departments,Overtime,All staff,Group 2,212652314
Long Beach,CA,2020,Police Department,Personnel Services,All Sub-departments,Salaries/Benefits,All staff,Group 2,11354289
Long Beach,CA,2020,Police Department,Transfers,All Sub-departments,All expense items,All staff,Group 2,109313
Los Angeles,CA,2020,Police Department,Capital Projects,All sub-departments,Contractual Services,All Staff,Group 5,47336716
Los Angeles,CA,2020,Police Department,Equipment,All sub-departments,Field Equipment Expense,All Staff,Group 5,10628392
Los Angeles,CA,2020,Police Department,Equipment,All sub-departments,Firearms Ammunition Other Devi,All Staff,Group 5,4063498
Los Angeles,CA,2020,Police Department,Equipment,All sub-departments,Traffic And Signal,All Staff,Group 5,101000
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,Gang Intervention Program - State Set Aside,All Staff,Group 5,130045
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,General City Purposes,All Staff,Group 5,25000
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,Reserve Officer Expense,All Staff,Group 5,301000
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,Secret Service,All Staff,Group 5,1098000
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,Transportation Equipment,All Staff,Group 5,1.00E+07
Los Angeles,CA,2020,Police Department,Non-Equipment Expense,All sub-departments,Travel,All Staff,Group 5,808750
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Institutional Supplies,All Staff,Group 5,1257196
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Office And Administrative,All Staff,Group 5,25671812
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Operating Supplies,All Staff,Group 5,2032164
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Printing And Binding,All Staff,Group 5,1392560
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Supplemental Police Account,All Staff,Group 5,1500000
Los Angeles,CA,2020,Police Department,Operations,All sub-departments,Transportation,All Staff,Group 5,110062
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Accumulated Overtime,All Staff,Group 5,7957751
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Overtime General,Civilian Staff,Group 5,7726837
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Overtime Sworn,Sworn Staff,Group 5,165525687
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Salaries As Needed,All Staff,Group 5,4336601
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Salaries General,Civilian Staff,Group 5,272251197
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Salaries Sworn,Sworn Staff,Group 5,1166547375
Los Angeles,CA,2020,Police Department,Personnel Services,All sub-departments,Uniforms,All Staff,Group 5,4691526
Louisville,KY,2020,Police Department,Contractual Services,All Sub-Departments,Advertising,All,Group 2,43000
Louisville,KY,2020,Police Department,Contractual Services,All Sub-Departments,Other,All,Group 2,7623700
Louisville,KY,2020,Police Department,Contractual Services,All Sub-Departments,Printing,All,Group 2,14600
Louisville,KY,2020,Police Department,Contractual Services,All Sub-Departments,Training,All,Group 2,236300
Louisville,KY,2020,Police Department,Contractual Services,All Sub-Departments,Travel,All,Group 2,231400
Louisville,KY,2020,Police Department,Equipment,All Sub-Departments,All expense items,All,Group 2,1212500
Louisville,KY,2020,Police Department,Personnel Services,All Sub-Departments,Overtime,All,Group 2,10513800
Louisville,KY,2020,Police Department,Personnel Services,All Sub-Departments,Retirement/pension,All,Group 2,39130100
Louisville,KY,2020,Police Department,Personnel Services,All Sub-Departments,Salaries,All,Group 2,79098400
Louisville,KY,2020,Police Department,Personnel Services,All Sub-Departments,Salaries/Benefits,All,Group 2,46344500
Louisville,KY,2020,Police Department,Personnel Services,All Sub-Departments,Uniforms,All,Group 2,2842400
Louisville,KY,2020,Police Department,Supplies,All Sub-Departments,Firearms/Ammunition,All,Group 2,805000
Louisville,KY,2020,Police Department,Supplies,All Sub-Departments,Office Supplies,All,Group 2,150100
Louisville,KY,2020,Police Department,Supplies,All Sub-Departments,Other,All,Group 2,1479300
Louisville,KY,2020,Police Pensions,Criminal Justice Commission- Policemen Retirement Fund,All Sub-Departments,Retirement/pension,All,Group 2,2263100
Manchester,NH,2020,Police Department,Contractual Services,Administration,Professional Fees,All staff,Group 4,304314
Manchester,NH,2020,Police Department,Equipment,Administration,Facility,All staff,Group 4,2200
Manchester,NH,2020,Police Department,Equipment,Administration,Medical Supplies,All staff,Group 4,1500
Manchester,NH,2020,Police Department,Equipment,Administration,Office Supplies,All staff,Group 4,15000
Manchester,NH,2020,Police Department,Equipment,Administration,Phones,All staff,Group 4,60000
Manchester,NH,2020,Police Department,Equipment,Animal Services,K9 Equipment,All staff,Group 4,17500
Manchester,NH,2020,Police Department,Equipment,Communications,Food,All staff,Group 4,500
Manchester,NH,2020,Police Department,Equipment,Communications,Salaries,All staff,Group 4,1724507
Manchester,NH,2020,Police Department,Equipment,Patrol,Field Equipment,All staff,Group 4,10000
Manchester,NH,2020,Police Department,Equipment,Patrol,Uniform,All staff,Group 4,163500
Manchester,NH,2020,Police Department,Equipment,Records,Office Supplies,All staff,Group 4,10000
Manchester,NH,2020,Police Department,Equipment,Training,Firearms/Ammunition,All staff,Group 4,130000
Manchester,NH,2020,Police Department,Non-Personnel Services,Detectives,Other,All staff,Group 4,40000
Manchester,NH,2020,Police Department,Non-Personnel Services,Special Operations ,Other,All staff,Group 4,275000
Manchester,NH,2020,Police Department,Operations,Administration,Advertising,All staff,Group 4,5000
Manchester,NH,2020,Police Department,Operations,Administration,Dues,All staff,Group 4,4000
Manchester,NH,2020,Police Department,Operations,Administration,Fire Extinguishers,All staff,Group 4,1500
Manchester,NH,2020,Police Department,Operations,Administration,Lease,All staff,Group 4,12000
Manchester,NH,2020,Police Department,Operations,Administration,Maintenance,All staff,Group 4,9000
Manchester,NH,2020,Police Department,Operations,Administration,Office Supplies,All staff,Group 4,84000
Manchester,NH,2020,Police Department,Operations,Administration,Other,All staff,Group 4,21000
Manchester,NH,2020,Police Department,Operations,Administration,Printing,All staff,Group 4,10000
Manchester,NH,2020,Police Department,Operations,Administration,Transportation,All staff,Group 4,2500
Manchester,NH,2020,Police Department,Operations,Administration,Travel,All staff,Group 4,4000
Manchester,NH,2020,Police Department,Operations,Technical Services,All Expense Items,All staff,Group 4,230000
Manchester,NH,2020,Police Department,Personnel Services,Administration,Overtime,All staff,Group 4,1386419
Manchester,NH,2020,Police Department,Personnel Services,Administration,Salaries,All staff,Group 4,986589
Manchester,NH,2020,Police Department,Personnel Services,Animal Services,Salaries,All staff,Group 4,463393
Manchester,NH,2020,Police Department,Personnel Services,Community Relations,Salaries,All staff,Group 4,1548066
Manchester,NH,2020,Police Department,Personnel Services,Detectives,Salaries,All staff,Group 4,2528830
Manchester,NH,2020,Police Department,Personnel Services,Juvenile,Salaries,All staff,Group 4,1305835
Manchester,NH,2020,Police Department,Personnel Services,Maintenance,Salaries,All staff,Group 4,156988
Manchester,NH,2020,Police Department,Personnel Services,Other,Salaries,All staff,Group 4,166018
Manchester,NH,2020,Police Department,Personnel Services,Patrol,Salaries,All staff,Group 4,9319748
Manchester,NH,2020,Police Department,Personnel Services,Records,Salaries,All staff,Group 4,959986
Manchester,NH,2020,Police Department,Personnel Services,Special Operations ,Salaries,All staff,Group 4,1905563
Manchester,NH,2020,Police Department,Personnel Services,Traffic,Salaries,All staff,Group 4,862388
Manchester,NH,2020,Police Department,Personnel Services,Training,Other,All staff,Group 4,17400
Manchester,NH,2020,Police Department,Personnel Services,Training,Salaries,All staff,Group 4,439381
Manchester,NH,2020,Police Department,NA,Animal Services,K9 Equipment,All staff,Group 4,500
Manchester,NH,2020,Police Department,NA,Animal Services,Salaries,All staff,Group 4,101550
Memphis,TN,2020,Police Department,Captial Projects,All Sub-departments,General Equipment,All Staff,Group 2,408000
Memphis,TN,2020,Police Department,Captial Projects,All Sub-departments,IT Supplies,All Staff,Group 2,10000
Memphis,TN,2020,Police Department,Captial Projects,All Sub-departments,Office supplies,All Staff,Group 2,73900
Memphis,TN,2020,Police Department,Captial Projects,All Sub-departments,Other,All Staff,Group 2,16500
Memphis,TN,2020,Police Department,Grants,All Sub-departments,Other,All Staff,Group 2,150000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Aircraft,All Staff,Group 2,565669
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Claims,All Staff,Group 2,5.00E+05
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,DUI Unit,All Staff,Group 2,75000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Field Equipment,All Staff,Group 2,736335
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Firearms/Ammunition,All Staff,Group 2,5.00E+05
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Gasoline,All Staff,Group 2,3468013
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Insurance,All Staff,Group 2,281417
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,IT Supplies,All Staff,Group 2,6494739
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,K9 Unit,All Staff,Group 2,75000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Legal Fees,All Staff,Group 2,1500000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Maintenance,All Staff,Group 2,659293
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Medical S,All Staff,Group 2,33000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Office supplies,All Staff,Group 2,503625
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Other,All Staff,Group 2,7677407
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Phones,All Staff,Group 2,1006300
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Police Mounted,All Staff,Group 2,90000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Printing,All Staff,Group 2,47500
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Professional Fees,All Staff,Group 2,3119004
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Rent,All Staff,Group 2,1320000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Security,All Staff,Group 2,610920
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Special Investigations,All Staff,Group 2,1.00E+05
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Subscriptions,All Staff,Group 2,6500
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,TACT,All Staff,Group 2,215000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Traffic Unit,All Staff,Group 2,1.00E+05
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Training,All Staff,Group 2,145000
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Travel,All Staff,Group 2,334572
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Uniform,All Staff,Group 2,1212100
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Utilities,All Staff,Group 2,1187064
Memphis,TN,2020,Police Department,Materials and Services,All Sub-departments,Vehicle Repairs,All Staff,Group 2,46280
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Benefits,All Staff,Group 2,38588249
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Holiday Pay,All Staff,Group 2,6402637
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Overtime,All Staff,Group 2,25200514
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Retirement/pension,All Staff,Group 2,8892943
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Salaries/Wages,All Staff,Group 2,149629606
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Special Pay,All Staff,Group 2,10534961
Memphis,TN,2020,Police Department,Personnel Services,All Sub-departments,Workers' Compensation,All Staff,Group 2,1993960
Mesa,AZ,2020,Police Department,Capital Projects,Administration,All expense items,All staff,Group 3,608283
Mesa,AZ,2020,Police Department,Capital Projects,Other,All expense items,All staff,Group 3,602058
Mesa,AZ,2020,Police Department,Capital Projects,Technical Services,All expense items,All staff,Group 3,670883
Mesa,AZ,2020,Police Department,Contractual Services,Administration,All expense items,All staff,Group 3,101970
Mesa,AZ,2020,Police Department,Contractual Services,Command,All expense items,All staff,Group 3,8226757
Mesa,AZ,2020,Police Department,Contractual Services,Community Relations,All expense items,All staff,Group 3,35300
Mesa,AZ,2020,Police Department,Contractual Services,Investigations,All expense items,All staff,Group 3,169707
Mesa,AZ,2020,Police Department,Contractual Services,Other,All expense items,All staff,Group 3,7923390
Mesa,AZ,2020,Police Department,Contractual Services,Patrol,All expense items,All staff,Group 3,477698
Mesa,AZ,2020,Police Department,Contractual Services,Special Operations,All expense items,All staff,Group 3,219315
Mesa,AZ,2020,Police Department,Contractual Services,Technical Services,All expense items,All staff,Group 3,3288364
Mesa,AZ,2020,Police Department,Contractual Services,Training,All expense items,All staff,Group 3,415050
Mesa,AZ,2020,Police Department,Materials and Services,Administration,All expense items,All staff,Group 3,44800
Mesa,AZ,2020,Police Department,Materials and Services,Command,All expense items,All staff,Group 3,1461857
Mesa,AZ,2020,Police Department,Materials and Services,Community Relations,All expense items,All staff,Group 3,37753
Mesa,AZ,2020,Police Department,Materials and Services,Investigations,All expense items,All staff,Group 3,219961
Mesa,AZ,2020,Police Department,Materials and Services,Other,All expense items,All staff,Group 3,5969910
Mesa,AZ,2020,Police Department,Materials and Services,Patrol,All expense items,All staff,Group 3,842421
Mesa,AZ,2020,Police Department,Materials and Services,Special Operations,All expense items,All staff,Group 3,191667
Mesa,AZ,2020,Police Department,Materials and Services,Technical Services,All expense items,All staff,Group 3,972190
Mesa,AZ,2020,Police Department,Materials and Services,Training,All expense items,All staff,Group 3,473787
Mesa,AZ,2020,Police Department,Personnel Services,Administration,All expense items,All staff,Group 3,8357199
Mesa,AZ,2020,Police Department,Personnel Services,Command,All expense items,All staff,Group 3,6386819
Mesa,AZ,2020,Police Department,Personnel Services,Community Relations,All expense items,All staff,Group 3,916065
Mesa,AZ,2020,Police Department,Personnel Services,Forensic Services,All expense items,All staff,Group 3,6946181
Mesa,AZ,2020,Police Department,Personnel Services,Human Resources,All expense items,All staff,Group 3,3885510
